0.0,0.0,1.0
0.0,0.9784,0.2068
0.0,0.9996,0.0265
0.0,1.0,0.0
0.0,1.0,0.0004
0.0,1.0,0.0032
0.9572,0.2023,0.2068
0.978,0.0259,0.2068
0.978,0.2067,0.0265
0.9784,0.0,0.2068
0.9784,0.0004,0.2068
0.9784,0.0032,0.2068
0.9784,0.2068,0.0
0.9784,0.2068,0.0004
0.9784,0.2068,0.0032
0.9993,0.0265,0.0265
0.9996,0.0,0.0265
0.9996,0.0004,0.0265
0.9996,0.0032,0.0265
0.9996,0.0265,0.0
0.9996,0.0265,0.0004
0.9996,0.0265,0.0032
1.0,0.0,0.0
1.0,0.0,0.0004
1.0,0.0,0.0032
1.0,0.0004,0.0
1.0,0.0004,0.0004
1.0,0.0004,0.0032
1.0,0.0032,0.0
1.0,0.0032,0.0004
1.0,0.0032,0.0032
